City,Lat,Long,Empty,Attend
Atlanta Hawks,33.7573,-84.3963,0.13919589,0.86080411
Boston Celtics,42.3662,-71.0621,0,1
Brooklyn Nets,40.6826,-73.9754,0.132857011,0.867142989
Charlotte Bobcats,35.2251,-80.8392,0.165526533,0.834473467
Chicago Bulls,41.8807,-87.6742,0.096019009,0.903980991
Cleveland Cavaliers,41.4965,-81.6882,0,1
Dallas Mavericks,32.7905,-96.8104,0.029541209,0.970458791
Denver Nuggets,39.7487,-105.0077,0.147322994,0.852677006
Detroit Pistons,42.6969,-83.2458,0.150198005,0.849801995
Golden State Warriors,37.7503,-122.203,0,1
Houston Rockets,29.7508,-95.3621,0.032730662,0.967269338
Indiana Pacers,39.764,-86.1555,0.104408697,0.895591303
LA Clippers,34.043,-118.2673,0.12404504,0.87595496
LA Lakers,34.043,-118.2673,0.003273944,0.996726056
Memphis Grizzlies,35.1382,-90.0505,0.119825705,0.880174295
Miami Heat,25.7814,-80.187,0.023018573,0.976981427
Milwaukee Bucks,43.0437,-87.9171,0.106977223,0.893022777
Minnesota Timberwolves,44.9795,-93.276,0.101259738,0.898740262
New Orleans Pelicans,29.949,-90.0821,0.115001714,0.884998286
New York Knicks,40.7505,-73.9934,0.024232665,0.975767335
Oklahoma City Thunder,35.4634,-97.5151,1.34E-06,0.99999866
Orlando Magic,28.5392,-81.3839,0.065495267,0.934504733
Philadelphia Sixers,39.9012,-75.172,0.023377542,0.976622458
Phoenix Suns,33.4457,-112.0712,0.067110658,0.932889342
Portland Trail Blazers,45.5316,-122.6668,0.038514981,0.961485019
Sacramento Kings,38.649,-121.5181,0.008632229,0.991367771
San Antonio Spurs,29.4271,-98.4375,0.028045882,0.971954118
Toronto Raptors,43.6435,-79.3791,0.014466222,0.985533778
Utah Jazz,40.7683,-111.9011,0.020971399,0.979028601
Washington Wizards,38.8981,-77.0209,0.114179795,0.885820205