team,Game,vacancy_rate
Atlanta Hawks,Home,0.139
Boston Celtics,Home,0.000
Brooklyn Nets,Home,0.133
Charlotte Hornets,Home,0.166
Chicago Bulls,Home,0.096
Cleveland Cavaliers,Home,0.000
Dallas Mavericks,Home,0.030
Denver Nuggets,Home,0.147
Detroit Pistons,Home,0.150
Golden State Warriors,Home,0.000
Houston Rockets,Home,0.033
Indiana Pacers,Home,0.104
Los Angeles Clippers,Home,0.124
Los Angeles Lakers,Home,0.003
Memphis Grizzlies,Home,0.120
Miami Heat,Home,0.023
Milwaukee Bucks,Home,0.107
Minnesota Timberwolves,Home,0.101
New Orleans Pelicans,Home,0.115
New York Knicks,Home,0.024
Oklahoma City Thunder,Home,0.000
Orlando Magic,Home,0.065
Philadelphia 76ers,Home,0.023
Phoenix Suns,Home,0.067
Portland Trail Blazers,Home,0.039
Sacramento Kings,Home,0.009
San Antonio Spurs,Home,0.028
Toronto Raptors,Home,0.014
Utah Jazz,Home,0.021
Washington Wizards,Home,0.114
Atlanta Hawks,Away,0.081
Boston Celtics,Away,0.040
Brooklyn Nets,Away,0.087
Charlotte Hornets,Away,0.092
Chicago Bulls,Away,0.057
Cleveland Cavaliers,Away,0.011
Dallas Mavericks,Away,0.089
Denver Nuggets,Away,0.066
Detroit Pistons,Away,0.072
Golden State Warriors,Away,0.013
Houston Rockets,Away,0.040
Indiana Pacers,Away,0.097
Los Angeles Clippers,Away,0.068
Los Angeles Lakers,Away,0.023
Memphis Grizzlies,Away,0.099
Miami Heat,Away,0.065
Milwaukee Bucks,Away,0.059
Minnesota Timberwolves,Away,0.071
New Orleans Pelicans,Away,0.067
New York Knicks,Away,0.061
Oklahoma City Thunder,Away,0.022
Orlando Magic,Away,0.087
Philadelphia 76ers,Away,0.070
Phoenix Suns,Away,0.085
Portland Trail Blazers,Away,0.080
Sacramento Kings,Away,0.094
San Antonio Spurs,Away,0.038
Toronto Raptors,Away,0.086
Utah Jazz,Away,0.087
Washington Wizards,Away,0.086